id	code	axe	libelle
64	89	1	Troubles à expression somatique non spécifiés
65	90	1	Angoisses , rituels, peurs
66	91	1	Moments dépressifs
67	92	1	Conduites d 'opposition
68	93	1	Conduites d 'isolement
69	94	1	Difficultés scolaires non classables dans les catégories précédentes
70	95	1	Retards ou régressions transitoires
71	96	1	Aspects originaux de la personnalité
72	98	1	Autres
73	99	1	Non spécifiées
74	100	1	Autisme infantile précoce - type Kanner
75	101	1	Autres formes de l'autisme
76	102	1	Psychose précoce déficitaire. Retard mental avec troubles autistiques ou psychotiques
77	103	1	Syndrome d 'Asperger
78	104	1	Dysharmonies Psychotiques
79	105	1	Troubles désintégratifs de l'enfance
80	108	1	Autres psychoses précoces ou autres troubles envahissants du développement
81	109	1	Psychoses précoces ou troubles envahissants du développement non spécifiés
82	110	1	Schizophrénie de l'enfant
83	111	1	Troubles schizophréniques à l'adolescence
84	130	1	Trouble psychotique aigu polymorphe sans symptômes schizophréniques
85	131	1	Trouble psychotique aigu polymorphe avec symptômes schizophréniques
86	138	1	Autres
87	140	1	Psychoses dysthymiques de l'enfant
88	141	1	Troubles thymiques de l'adolescent
89	500	1	Q I 50 - 69
90	505	1	Déficiences harmoniques
91	506	1	Déficiences dysharmoniques
92	507	1	Déficience avec polyhandicap sensoriel et/ou moteur
93	508	1	Démences
94	509	1	Non spécifiée
95	510	1	Q I 35 - 49
96	516	1	Q I 35 - 49 Avec Déficience dysharmonique
97	520	1	Q I 20 - 34
98	530	1	Q I < à 20
99	540	1	Q I Non spécifié
100	546	1	Q I Non spécifié Avec Déficience dysharmonique
101	600	1	Troubles isolés de l'articulation .
102	601	1	Troubles du développement du langage
103	602	1	Aphasie acquise
104	603	1	Mutisme
105	604	1	Bégaiement.
106	608	1	Autres troubles de la parole et du langage
107	609	1	Troubles de la parole et du langage non spécifiés
108	610	1	Troubles lexicographiques
109	611	1	Troubles spécifiques de l'arithmétique (dyscalculie).
110	612	1	Troubles du raisonnement (Dysharmonies cognitives)
111	613	1	Troubles de l'attention sans hyperkinésie
112	618	1	Autres troubles cognitifs et des acquisitions scolaires.
113	619	1	Troubles cognitifs et des acquisitions scolaires non spécifiés
114	620	1	Retard psychomoteur (Troubles spécifiques du développement moteur)
115	621	1	Tics
116	628	1	Autres troubles psychomoteurs
117	629	1	Troubles psychomoteurs non spécifiés
118	700	1	Hyperkinésie avec troubles de l'attention
119	708	1	Autres troubles hyperkinétiques
120	709	1	Troubles hyperkinétiques non spécifiés
121	710	1	Anorexie mentale
122	711	1	Anorexie mentale atypique
123	712	1	Boulimie
124	713	1	Boulimie atypique
125	714	1	Troubles des conduites alimentaires du nourrisson et de l'enfant
126	715	1	Troubles alimentaires du nouveau né
127	718	1	Autres Troubles des Conduites Alimentaires
128	719	1	Troubles des Conduites Alimentaires non spécifiés
129	731	1	Usage occasionnel de stupéfiant
130	750	1	Troubles de l'identité sexuelle
131	751	1	Troubles de la préférence sexuelle
132	752	1	Manifestations en rapport avec des préoccupations excessives concernant le développement sexuel et son orientation.
133	758	1	Autres troubles des conduites sexuelles.
134	759	1	Trouble des conduites sexuelles, sans précision.
135	770	1	Pyromanie
136	771	1	Kleptomanie
137	772	1	Trichotillomanie
138	773	1	Fugues
139	774	1	Violence contre les personnes
140	775	1	Conduites à risques
141	776	1	Errance
142	778	1	Autres troubles caractérisés des conduites
143	1110	1	Aspects prodromiques
144	1111	1	Schizophrénie avérée
145	1410	1	Episode maniaque
146	1411	1	Episode dépressif
147	6010	1	Retard de parole
148	6011	1	Retard (simple)de langage
149	6012	1	Dysphasie
150	6018	1	Autres Troubles du Développement du Langage
151	6020	1	Aphasie acquise avec épilepsie (syndrome de Landau-Kleffner)
152	6028	1	Autres aphasies acquises
153	6030	1	Mutisme Total
154	6031	1	Mutisme sélectif
155	6100	1	Dyslexie isolée
156	6101	1	Trouble de l'orthographe sans trouble de la lecture
157	6108	1	Autres troubles lexicographiques
158	6210	1	Tics isolés
159	6211	1	Maladie de Gilles de la Tourette
160	7100	1	Anorexie mentale restrictive
161	7101	1	Anorexie mentale boulimique
162	7300	1	Usage Continu de stupéfiant
163	7301	1	Morphiniques
164	7302	1	Cannabis
165	7303	1	Hypnotiques et Tranquillisant
166	7304	1	Cocaïne
167	7305	1	Autres psychostimulants et dysleptiques
168	7306	1	Tabac - Caféine
169	7307	1	Solvants
170	7308	1	Polytoxicomanies
171	7309	1	Autres ou non spécifié
172	7310	1	Usage occasionnel de stupéfiant
173	7320	1	En rémission
174	7380	1	Autre stupéfiant
175	7390	1	Non spécifié
176	7500	1	Trouble de l'identité sexuelle de l'enfance
177	7501	1	Trouble de l'identité sexuelle chez lez adolescents
178	14100	1	Episode maniaque actuel s'inscrivant dans un trouble affectif bipolaire
179	14101	1	Manie sans symptômes psychotiques
180	14102	1	Manie avec symptômes psychotiques
181	14103	1	etat mixte
182	14104	1	Hypomanie
183	14110	1	Episode dépressif actuel s'inscrivant dans un trouble affectif bipolaire
184	14111	1	Episode dépressif sévère sans dimension mélancolique manifeste
185	14112	1	Episode dépressif sévère sans dimension mélancolique manifeste, avec symptômes psychotiques
186	14113	1	Episode dépressif sévère avec dimension mélancolique
187	14114	1	Episode dépressif sévère avec mélancolie délirante
188	15001	1	B1 - Bébé à risque de troubles sévères du développement
189	15002	1	B2 - Les dépressions du bébé
190	15003	1	B3 - Bébé à risque d'évolution dysharmonique
191	15004	1	B4 - Les états du stress
192	15005	1	B5 - Hypermaturité et hyperécoute pathologiques
193	15006	1	B6 - Distortion du lien
194	15007	1	B7 - Retards d'acquisition divers
195	15008	1	B8 - Troubles des grandes fonctions psychosomatiques
196	10	2	PAS DE FACTEURS ORGANIQUES RECONNUS
204	18	2	AUTRES
205	19	2	PAS DE REPONSE POSSIBLE PAR DEFAUT D'INFORMATION
206	100	2	Pas de facteurs organiques reconnus
207	110	2	Atteinte infectieuse ou parasitaire
208	111	2	Atteinte toxique
209	112	2	Atteinte liée à une maladie maternelle
210	113	2	Autres
211	120	2	Prématurité, dysmaturité
212	121	2	Souffrance cérébrale périnatale
213	122	2	Incompatibilité sanguine foeto-maternelle
214	123	2	Autres
215	130	2	Atteinte cérébrale post-natale d'origine infectieuse ou parasitaire
216	131	2	Atteinte cérébrale post-natale d'origine toxique
217	132	2	Atteinte liée à un traumatisme cérébral
218	133	2	Tumeurs cérébrales
219	134	2	Autres
220	138	2	Autres
221	140	2	Trisomie 21 ou mongolisme
222	141	2	Autre maladie liée à une anomalie chromosomique autosomique
223	142	2	Maladie liée à une anomalie chromosomique gonosomique
224	143	2	Phénylcétonurie
225	144	2	Autres maladies métaboliques
226	145	2	Hypothyroïdies congénitales
227	146	2	Neuro-ectodermoses congénitales
228	147	2	Malformations cérébrales congénitales
229	148	2	Autres
230	150	2	Déficits sensoriels
231	151	2	Atteinte motrice d'origine cérébrale
232	152	2	Atteinte neurologique d'origine non cérébrale
233	153	2	Affections musculaires
234	154	2	Malformations congénitales autres que cérébrales
235	155	2	Séquelles d'accident physique sans atteinte cérébrale
236	156	2	Déficit immunitaire congénital ou acquis
237	157	2	Hémophilie
238	158	2	Maladie somatique à long cours
239	159	2	Autres
240	160	2	Epilepsie idiopathique
241	161	2	Encéphalopathie épileptique évolutive et épilepsies sévères
242	162	2	Autres épilepsies symptomatiques
243	163	2	Manifestations convulsives non épileptiques
244	164	2	Autres
245	168	2	Autres
246	170	2	Antécédents de maladies somatiques dans l'enfance
249	20	3	PAS DE FACTEURS D'ENVIRONNEMENT A RETENIR
256	28	3	AUTRES
257	29	3	PAS DE REPONSE POSSIBLE PAR DEFAUT D'INFORMATION
258	210	3	Psychose puerpérale
259	211	3	Dépression maternelle dans la période post-natale
260	212	3	Discontinuité des processus de soins maternels dans la première année
261	213	3	Autre trouble important des relations précoces
262	214	3	Troubles mentaux d'un ou des parents
263	215	3	Troubles mentaux d'un autre membre de la famille
264	216	3	Alcoolisme ou toxicomanie parentale
265	217	3	Perturbations psychologiques sévères et actuelles dans le réseau familial
266	218	3	Autres
267	219	3	Autres
268	220	3	Carences affectives précoces
269	221	3	Carences affectives ultérieures
270	222	3	Carences socio-éducatives
271	223	3	Autres
272	228	3	Autres
273	230	3	Sévices et violences physiques
274	231	3	Négligences sévères
275	232	3	Abus sexuels
276	233	3	Autres
277	238	3	Autres
278	240	3	Hospitalisation ou séjour institutionnel prolongé ou répétitif de l'enfant
279	241	3	Rupture itérative des modes de garde
280	242	3	Hospitalisation ou séjour institutionnel prolongé ou répétitif des parents
281	243	3	Décès d'un ou des parents
282	244	3	Décès d'un ou des grands-parents
283	245	3	Décès dans la fratrie
284	246	3	Abandon parental
285	247	3	Autres
286	248	3	Autres
287	250	3	Gémelité
288	251	3	Enfant actuellement placé
289	252	3	Enfant adopté
290	253	3	Enfant de parents divorcés ou séparés
291	254	3	Enfant élevé par les grands-parents
292	255	3	Famille mono-parentale
293	256	3	Famille immigrée ou trnaplantée
294	257	3	Maladie organique grave d'un parent
295	258	3	Milieu socio-familial très défavorisé
296	259	3	Autre
